Time	Channel A	Channel B	Channel C	Channel D
(us)	(V)	(V)	(V)	(V)

-6.01600004	0.00207526	-0.00061037	0.00469985	-0.00982696
-6.00800004	0.00146489	0.00561541	0.00201422	-0.00506607
-6.00000004	0.00500504	0.00769066	0.00146489	-0.00390637
-5.99200004	-0.00122074	0.00854518	0.00000000	-0.00598163
-5.98400004	0.00415052	0.00231941	-0.00207526	-0.00537126
-5.97600004	0.00677511	0.00799585	0.00000000	-0.01544237
-5.96800004	0.00469985	0.00976592	-0.00152593	-0.00982696
-5.96000004	0.00531022	0.00415052	-0.00207526	-0.00683615
-5.95200004	0.00085452	0.00708029	-0.00415052	-0.00830104
-5.94400005	-0.00329600	-0.00061037	0.00000000	-0.00805689
-5.93600005	0.01153600	0.00622578	-0.00207526	-0.00390637
-5.92800005	0.00231941	0.00561541	-0.00354015	-0.00537126
-5.92000005	-0.00061037	0.00799585	-0.00354015	-0.00329600
-5.91200005	0.00054933	-0.00421155	0.00646992	-0.01275674
-5.90400005	0.00500504	0.00354015	0.01025422	-0.00268563
-5.89600005	0.00354015	0.00354015	-0.00207526	-0.00390637
-5.88800005	0.00708029	0.00622578	0.00677511	-0.00683615
-5.88000005	0.00439467	0.01007111	-0.00299081	-0.00653096
-5.87200005	0.00646992	0.00622578	0.00000000	-0.00268563
-5.86400005	0.00177007	0.00439467	-0.00445570	-0.00775170
-5.85600005	0.00354015	0.00799585	-0.00122074	-0.00061037
-5.84800005	0.00415052	0.01123081	0.00292978	-0.00653096
-5.84000005	0.00231941	0.00531022	-0.00531022	-0.00445570
-5.83200005	0.00323496	0.00469985	-0.00207526	-0.00744652
-5.82400005	0.00354015	0.00177007	0.00555437	-0.00567644
-5.81600005	-0.00061037	0.00177007	-0.00061037	-0.00537126
-5.80800005	0.00500504	0.00085452	0.00524918	-0.00415052
-5.80000005	0.00677511	0.00146489	-0.00061037	-0.00744652
-5.79200005	0.00415052	0.00531022	0.00408948	0.00177007
